order_id,product_id,quantity,unit_price,discount
O200000,P1008,1,35.53,0.15
O200001,P1075,2,31.36,0.0
O200001,P1034,5,172.72,0.05
O200001,P1022,2,379.38,0.05
O200002,P1015,1,111.69,0.0
O200002,P1071,5,533.7,0.0
O200002,P1095,1,293.66,0.15
O200003,P1011,5,164.37,0.15
O200003,P1026,4,255.33,0.0
O200004,P1063,5,206.06,0.05
O200004,P1054,3,123.08,0.0
O200004,P1074,1,230.73,0.1
O200004,P1014,1,32.87,0.0
O200005,P1028,2,66.26,0.0
O200005,P1059,5,218.93,0.0
O200005,P1071,3,533.7,0.05
O200006,P1088,5,157.81,0.2
O200006,P1103,2,27.86,0.0
O200006,P1062,3,44.7,0.05
O200006,P1000,5,396.27,0.0
O200007,P1064,5,37.82,0.15
O200007,P1026,2,255.33,0.0
O200007,P1048,3,65.04,0.2
O200008,P1078,2,259.72,0.05
O200009,P1059,4,218.93,0.05
O200010,P1036,2,134.12,0.0
O200011,P1069,3,264.66,0.2
O200011,P1062,5,44.7,0.15
O200012,P1073,2,142.45,0.0
O200013,P1105,3,171.79,0.05
O200013,P1104,4,276.35,0.0
O200013,P1025,3,46.64,0.0
O200014,P1110,4,178.83,0.0
O200014,P1026,4,255.33,0.15
O200014,P1076,1,537.15,0.2
O200014,P1012,1,296.96,0.0
O200015,P1058,3,141.93,0.1
O200016,P1094,2,72.99,0.1
O200017,P1089,4,17.98,0.2
O200017,P1024,1,18.18,0.0
O200017,P1103,5,27.86,0.05
O200018,P1046,2,148.16,0.0
O200018,P1047,5,143.09,0.15
O200018,P1073,4,142.45,0.1
O200018,P1013,1,147.66,0.0
O200019,P1073,3,142.45,0.0
O200019,P1013,1,147.66,0.0
O200019,P1106,5,270.17,0.0
O200019,P1001,1,285.94,0.2
O200020,P1015,5,111.69,0.1
O200020,P1072,2,267.01,0.1
O200020,P1064,3,37.82,0.0
O200020,P1030,5,95.57,0.0
O200021,P1109,4,323.91,0.2
O200021,P1105,1,171.79,0.05
O200022,P1115,3,46.67,0.1
O200023,P1024,2,18.18,0.05
O200023,P1086,2,140.81,0.0
O200023,P1088,1,157.81,0.15
O200023,P1102,1,98.36,0.1
O200024,P1024,1,18.18,0.1
O200025,P1031,4,344.47,0.0
O200025,P1028,2,66.26,0.1
O200025,P1079,3,57.01,0.0
O200026,P1054,5,123.08,0.05
O200026,P1021,5,259.91,0.1
O200026,P1097,3,311.32,0.15
O200027,P1037,2,41.82,0.15
O200027,P1116,2,277.81,0.0
O200028,P1079,3,57.01,0.2
O200029,P1110,4,178.83,0.1
O200029,P1070,3,102.15,0.0
O200029,P1006,1,243.37,0.1
O200029,P1079,4,57.01,0.05
O200030,P1081,3,286.18,0.2
O200030,P1019,1,319.54,0.0
O200031,P1093,2,279.47,0.0
O200031,P1040,4,365.39,0.0
O200031,P1040,2,365.39,0.05
O200032,P1071,5,533.7,0.15
O200033,P1037,5,41.82,0.0
O200033,P1009,2,177.77,0.05
O200033,P1089,4,17.98,0.0
O200034,P1004,2,353.67,0.0
O200034,P1085,5,105.41,0.0
O200034,P1031,4,344.47,0.15
O200035,P1119,1,383.32,0.0
O200035,P1004,2,353.67,0.0
O200036,P1075,5,31.36,0.15
O200036,P1033,4,224.24,0.15
O200036,P1011,2,164.37,0.15
O200037,P1105,1,171.79,0.0
O200037,P1067,5,76.41,0.0
O200038,P1078,4,259.72,0.2
O200038,P1004,2,353.67,0.2
O200038,P1055,3,478.95,0.0
O200039,P1087,2,191.19,0.15
O200039,P1055,2,478.95,0.2
O200039,P1081,4,286.18,0.0
O200040,P1069,4,264.66,0.05
O200040,P1056,1,346.79,0.15
O200040,P1103,3,27.86,0.05
O200040,P1015,5,111.69,0.1
O200041,P1116,2,277.81,0.0
O200041,P1055,4,478.95,0.0
O200042,P1017,3,389.28,0.05
O200042,P1108,1,160.48,0.2
O200042,P1001,3,285.94,0.05
O200042,P1069,4,264.66,0.0
O200043,P1057,2,401.11,0.2
O200043,P1065,2,294.77,0.2
O200043,P1038,1,89.11,0.05
O200043,P1038,2,89.11,0.0
O200044,P1074,2,230.73,0.2
O200044,P1112,4,167.78,0.0
O200044,P1106,5,270.17,0.1
O200045,P1075,4,31.36,0.0
O200045,P1095,4,293.66,0.2
O200045,P1012,1,296.96,0.0
O200045,P1006,4,243.37,0.0
O200046,P1070,4,102.15,0.0
O200046,P1026,5,255.33,0.15
O200046,P1017,3,389.28,0.05
O200046,P1020,4,370.34,0.1
O200047,P1014,5,32.87,0.0
O200047,P1103,4,27.86,0.0
O200048,P1065,2,294.77,0.2
O200048,P1023,4,69.5,0.0
O200048,P1078,3,259.72,0.2
O200048,P1001,3,285.94,0.15
O200049,P1072,2,267.01,0.1
O200049,P1004,2,353.67,0.1
O200050,P1112,5,167.78,0.0
O200051,P1101,3,334.44,0.15
O200051,P1021,4,259.91,0.2
O200051,P1073,2,142.45,0.05
O200051,P1106,3,270.17,0.0
O200052,P1034,2,172.72,0.0
O200052,P1023,3,69.5,0.2
