order_id,customer_id,order_date,channel,status
O200000,C10763,2023-10-16,marketplace,delivered
O200001,C12939,19/06/2023,marketplace,delivered
O200002,C11050,01-10-2023,Retail Store,delivered
O200003,C10685,18 Apr 2024,Phone,delivered
O200004,C13055,2023-09-16,Online,Delivered
O200005,C10953,07/11/2024,marketplace,delivered
O200006,C10027,09-06-2023,Phone,delivered
O200007,C10409,14 May 2023,Marketplace,delivered
O200008,C12972,2024-12-16,Retail Store,returned
O200009,C11030,17/12/2024,Phone,Delivered
O200010,C11577,06-11-2024,Online,cancelled
O200011,C12021,03 Dec 2024,Phone,delivered
O200012,C11108,2023-05-22,online,delivered
O200013,C10756,16/12/2023,Retail Store,delivered
O200014,C10280,06-29-2023,online,delivered
O200015,C10294,23 Dec 2023,Phone,delivered
O200016,C13659,2024-09-13,Retail Store,delivered
O200017,C13985,30/10/2024,Retail Store,returned
O200018,C12560,01-04-2023,Marketplace,delivered
O200019,C11820,18 Nov 2023,online,delivered
O200020,C13243,2024-12-29,Retail Store,delivered
O200021,C13326,19/03/2024,online,returned
O200022,C11769,09-17-2023,marketplace,processing
O200023,C12955,18 Nov 2023,Online,delivered
O200024,C10387,2023-10-11,Marketplace,processing
O200025,C10661,11/12/2023,Retail Store,delivered
O200026,C13384,12-10-2023,Online,shipped
O200027,C12049,07 Jan 2024,Phone,shipped
O200028,C13260,2023-12-17,Retail Store,returned
O200029,C12271,15/01/2024,online,delivered
O200030,C10467,01-25-2023,Online,shipped
O200031,C10631,17 Feb 2023,Phone,shipped
O200032,C12131,2023-11-11,Phone,delivered
O200033,C10447,16/11/2024,Online,cancelled
O200034,C13381,09-12-2024,online,returned
O200035,C11052,07 Apr 2023,Online,Delivered
O200036,C12781,2023-12-30,marketplace,cancelled
O200037,C11045,02/04/2024,Online,Delivered
O200038,C13097,12-24-2023,Retail Store,shipped
O200039,C11110,22 Jun 2024,Marketplace,Delivered
O200040,C12066,2024-12-30,Phone,shipped
O200041,C11009,26/03/2023,Phone,delivered
O200042,C13501,01-14-2024,Retail Store,delivered
O200043,C12187,12 Jan 2024,online,delivered
O200044,C12089,2024-02-25,Marketplace,shipped
O200045,C11177,27/05/2023,Retail Store,delivered
O200046,C10732,05-02-2024,Retail Store,delivered
O200047,C13086,08 Feb 2023,Phone,delivered
O200048,C10213,2024-07-31,Retail Store,cancelled
O200049,C10209,23/05/2024,Marketplace,returned
O200050,C12622,10-18-2023,Marketplace,delivered
O200051,C12486,27 Dec 2024,Retail Store,shipped
O200052,C11311,2024-10-16,Phone,shipped
O200053,C13089,05/02/2024,Retail Store,delivered
