order_id,carrier,warehouse,promised_date,shipped_date,shipping_cost_gbp
O204148,EuroPost,Lyon,2024-09-25,2024-09-28,5.61
O207841,EuroPost,Lyon,2023-12-23,2023-12-21,7.5
O218898,FastFreight,Berlin,2023-12-08,2023-12-07,3.74
O204194,DPDx,Berlin,2024-10-22,2024-10-23,29.58
O208409,EuroPost,Berlin,2024-10-16,2024-10-15,23.11
O224725,FastFreight,Manchester,2024-12-19,2024-12-17,16.45
O202508,DPDx,Manchester,2024-04-05,2024-04-03,3.84
O220879,RoyalShip,Lyon,2023-12-28,2024-01-01,17.3
O217758,EuroPost,Berlin,2023-10-11,2023-10-07,27.95
O202905,FastFreight,Lyon,2024-09-05,2024-09-06,18.55
O208358,DPDx,Berlin,2023-12-16,2023-12-19,20.4
O203316,FastFreight,Lyon,2024-03-27,2024-03-27,29.49
O207484,FastFreight,Madrid,2024-12-10,2024-12-11,5.44
O219364,RoyalShip,Manchester,2023-10-14,2023-10-11,18.08
O212518,DPDx,Manchester,2024-08-19,2024-08-17,5.72
O223303,RoyalShip,Lyon,2023-12-08,2023-12-12,13.34
O217137,RoyalShip,Madrid,2024-04-24,2024-04-24,3.44
O208241,RoyalShip,Madrid,2023-10-29,2023-10-31,13.36
O208979,DPDx,Manchester,2023-12-08,2023-12-09,21.52
O209683,DPDx,Manchester,2024-11-22,2024-11-21,7.28
O212917,DPDx,Lyon,2023-06-11,2023-06-11,13.23
O215912,FastFreight,Berlin,2024-12-02,2024-12-03,14.65
O209109,FastFreight,Manchester,2024-11-06,2024-11-05,7.64
O212044,EuroPost,Manchester,2023-07-19,2023-07-25,19.25
O210279,DPDx,Berlin,2024-11-28,2024-11-26,24.79
O225145,EuroPost,Manchester,2023-09-20,2023-09-25,6.69
O223432,DPDx,Lyon,2024-12-21,2024-12-22,12.73
O225419,FastFreight,Manchester,2024-12-18,2024-12-22,10.53
O208641,EuroPost,Berlin,2024-12-17,2024-12-15,21.33
O211955,FastFreight,Berlin,2024-09-26,2024-10-01,10.91
O202740,RoyalShip,Berlin,2024-11-01,2024-11-04,28.41
O201489,EuroPost,Berlin,2024-01-22,2024-01-23,18.49
O208956,FastFreight,Berlin,2023-11-29,2023-12-03,6.66
O225541,RoyalShip,Berlin,2023-12-31,2024-01-06,8.92
O221106,EuroPost,Lyon,2023-12-05,2023-12-11,23.05
O207178,FastFreight,Manchester,2023-07-16,2023-07-15,11.33
O218954,EuroPost,Manchester,2024-12-28,2024-12-25,5.06
O223017,FastFreight,Lyon,2024-11-18,2024-11-16,2.31
O211682,EuroPost,Madrid,2024-12-04,2024-12-08,29.79
O207799,EuroPost,Berlin,2023-01-08,2023-01-13,15.11
O202595,DPDx,Manchester,2023-05-17,2023-05-20,9.87
O206965,EuroPost,Berlin,2023-12-12,2023-12-08,2.87
O221475,RoyalShip,Berlin,2023-09-25,2023-09-29,25.72
O202726,DPDx,Berlin,2023-02-02,2023-02-02,10.2
O210128,FastFreight,Madrid,2023-02-01,2023-01-28,6.43
O218269,FastFreight,Berlin,2024-12-26,2025-01-01,5.86
O205799,EuroPost,Madrid,2023-11-20,2023-11-20,19.52
O205006,EuroPost,Madrid,2023-03-15,2023-03-18,23.21
O218448,DPDx,Manchester,2024-11-09,2024-11-12,5.76
O212915,EuroPost,Lyon,2023-10-26,2023-10-28,4.23
O215852,EuroPost,Berlin,2024-12-25,2024-12-23,15.62
O205764,EuroPost,Lyon,2024-12-04,2024-11-30,29.88
O220134,FastFreight,Lyon,2024-11-21,2024-11-24,11.45
O212322,RoyalShip,Lyon,2024-12-20,2024-12-19,15.95
O206300,RoyalShip,Berlin,2024-05-20,2024-05-21,8.83
O208170,RoyalShip,Lyon,2023-09-25,2023-09-29,6.74
O221795,FastFreight,Lyon,2023-11-13,2023-11-10,25.95
O207603,EuroPost,Manchester,2023-01-31,2023-01-29,4.55
O220998,DPDx,Lyon,2023-05-19,2023-05-15,6.64
O203690,FastFreight,Lyon,2023-05-25,2023-05-27,8.85
O225422,RoyalShip,Madrid,2024-04-01,2024-03-28,22.52
O218721,RoyalShip,Madrid,2024-12-14,2024-12-15,8.41
O217477,EuroPost,Lyon,2024-08-05,2024-08-08,25.21
O208310,EuroPost,Berlin,2024-12-29,2025-01-03,4.48
O200382,RoyalShip,Lyon,2023-03-13,2023-03-10,18.18
O203942,DPDx,Lyon,2024-10-24,2024-10-21,20.83
O206646,FastFreight,Lyon,2024-10-16,2024-10-15,2.88
O216097,EuroPost,Berlin,2023-05-30,2023-05-28,25.38
O223753,RoyalShip,Lyon,2024-06-03,2024-06-02,20.3
O213207,EuroPost,Berlin,2024-12-11,2024-12-11,12.91
O210838,EuroPost,Berlin,2024-08-29,2024-08-30,14.31
O201045,FastFreight,Madrid,2023-05-19,2023-05-17,13.29
O204977,DPDx,Lyon,2024-08-07,2024-08-06,13.38
O219373,RoyalShip,Lyon,2024-05-15,2024-05-12,21.51
O207085,EuroPost,Lyon,2024-12-16,2024-12-20,8.2
O216443,DPDx,Madrid,2023-12-09,2023-12-10,5.01
O209622,FastFreight,Madrid,2023-10-01,2023-10-01,27.5
O205053,EuroPost,Berlin,2023-10-01,2023-09-28,11.59
O219419,DPDx,Madrid,2023-06-13,2023-06-17,20.52
O215255,DPDx,Berlin,2023-09-03,2023-08-30,21.6
O206428,EuroPost,Berlin,2024-06-12,2024-06-15,13.85
O206750,FastFreight,Madrid,2024-12-19,2024-12-22,7.73
O221993,DPDx,Lyon,2024-01-30,2024-02-01,19.63
O223395,FastFreight,Manchester,2023-03-03,2023-03-03,18.62
O203580,EuroPost,Lyon,2023-05-11,2023-05-10,14.66
O200993,DPDx,Berlin,2024-06-22,2024-06-25,19.9
O209212,EuroPost,Berlin,2024-12-12,2024-12-09,23.28
O205814,DPDx,Berlin,2023-08-08,2023-08-13,11.0
O209303,DPDx,Madrid,2025-01-02,2025-01-02,13.87
O208886,RoyalShip,Berlin,2024-04-15,2024-04-17,18.51
O201889,FastFreight,Manchester,2024-03-12,2024-03-12,15.34
O213019,EuroPost,Manchester,2024-12-06,2024-12-05,20.28
O218686,DPDx,Manchester,2023-06-21,2023-06-26,10.84
O214822,EuroPost,Manchester,2024-11-16,2024-11-14,16.93
O209103,FastFreight,Madrid,2023-11-02,2023-11-03,5.97
O203578,EuroPost,Manchester,2024-08-28,2024-08-25,23.77
O201246,FastFreight,Lyon,2024-12-01,2024-11-27,20.64
O214655,DPDx,Manchester,2024-07-26,2024-07-27,27.47
O217525,RoyalShip,Berlin,2024-10-07,2024-10-09,9.81
O207547,DPDx,Berlin,2023-07-17,2023-07-18,23.97
O216161,DPDx,Madrid,2024-05-05,2024-05-08,25.26
O201684,EuroPost,Berlin,2023-03-12,2023-03-12,3.4
O222631,EuroPost,Madrid,2024-09-01,2024-08-30,22.78
O200674,RoyalShip,Berlin,2023-04-05,2023-04-04,5.16
O221278,FastFreight,Madrid,2023-11-17,2023-11-15,23.7
O225336,RoyalShip,Lyon,2024-07-31,2024-08-02,9.09
O217938,FastFreight,Manchester,2024-12-27,2025-01-02,4.93
O210784,EuroPost,Manchester,2023-11-25,2023-11-21,13.09
O202393,FastFreight,Lyon,2023-05-30,2023-06-02,21.44
