ticket_id,order_id,ticket_status,message,channel
T500000,O203646,open,  RETURN REQUEST: item not as described  ,phone
T500001,O206752,pending,Can I change the delivery address for O206752?,phone
T500002,O209342,Open,"Cancel order O209342 please, ordered by mistake",phone
T500003,O211678,open,"the tent O211678 leaked on first use, very disappointed",email
T500004,O204591,Open,Where is my order O204591?? It is 2 weeks late!!!,email
T500005,O220090,open,"I want a refund for O220090, wrong size delivered",phone
T500006,O213953,open,"I want a refund for O213953, wrong size delivered",phone
T500007,O208190,closed,"the tent O208190 leaked on first use, very disappointed",email
T500008,O217069,open,Where is my order O217069?? It is 2 weeks late!!!,email
T500009,O216483,Open,Can I change the delivery address for O216483?,phone
T500010,O218913,closed,"Order O218913 arrived damaged, the zip is broken",email
T500011,O210113,open,Where is my order O210113?? It is 2 weeks late!!!,phone
T500012,,Open,"Cancel order O218667 please, ordered by mistake",email
T500013,O220616,Open,"I want a refund for O220616, wrong size delivered",email
T500014,O224948,closed,"Order O224948 arrived damaged, the zip is broken",chat
T500015,O225070,open,"Order O225070 arrived damaged, the zip is broken",email
T500016,O209773,Open,"Order O209773 arrived damaged, the zip is broken",phone
T500017,,pending,Where is my order O210647?? It is 2 weeks late!!!,chat
T500018,O210205,Open,Can I change the delivery address for O210205?,chat
T500019,O221268,pending,Can I change the delivery address for O221268?,email
T500020,O219713,pending,"the tent O219713 leaked on first use, very disappointed",email
T500021,O212608,open,"the tent O212608 leaked on first use, very disappointed",phone
T500022,O210492,pending,"I want a refund for O210492, wrong size delivered",email
T500023,O224055,pending,"Order O224055 arrived damaged, the zip is broken",chat
T500024,O218685,closed,Where is my order O218685?? It is 2 weeks late!!!,email
T500025,O208850,closed,"Order O208850 arrived damaged, the zip is broken",chat
T500026,,open,"I want a refund for O214035, wrong size delivered",chat
T500027,O200072,closed,"Order O200072 arrived damaged, the zip is broken",phone
T500028,O211050,open,"Order O211050 arrived damaged, the zip is broken",phone
T500029,O219803,closed,"Cancel order O219803 please, ordered by mistake",email
T500030,O204173,open,  RETURN REQUEST: item not as described  ,phone
T500031,O222152,pending,"the tent O222152 leaked on first use, very disappointed",chat
T500032,O208934,open,Where is my order O208934?? It is 2 weeks late!!!,phone
T500033,O207448,closed,Where is my order O207448?? It is 2 weeks late!!!,chat
T500034,,open,"I want a refund for O220822, wrong size delivered",phone
T500035,O203448,Open,"Order O203448 arrived damaged, the zip is broken",email
T500036,O212863,closed,  RETURN REQUEST: item not as described  ,chat
T500037,O221506,pending,Where is my order O221506?? It is 2 weeks late!!!,email
T500038,O217958,pending,  RETURN REQUEST: item not as described  ,phone
T500039,O200729,Open,Where is my order O200729?? It is 2 weeks late!!!,email
T500040,O213303,Open,Where is my order O213303?? It is 2 weeks late!!!,email
T500041,O200742,open,Can I change the delivery address for O200742?,email
T500042,O220262,Open,"Great service, jacket fits perfectly. thanks",phone
T500043,O224482,Open,"Great service, jacket fits perfectly. thanks",phone
T500044,O215424,closed,"Great service, jacket fits perfectly. thanks",chat
T500045,O202413,open,Can I change the delivery address for O202413?,email
T500046,O216319,Open,Can I change the delivery address for O216319?,email
T500047,O200714,open,"Great service, jacket fits perfectly. thanks",email
T500048,O200478,open,"Order O200478 arrived damaged, the zip is broken",email
T500049,,open,"I want a refund for O223436, wrong size delivered",chat
T500050,O210079,closed,  RETURN REQUEST: item not as described  ,email
T500051,O207697,open,Can I change the delivery address for O207697?,phone
T500052,O215211,closed,"Order O215211 arrived damaged, the zip is broken",chat
