show_id,type,title,country,release_year,rating,duration,date_added,listed_in
s1,TV Show,Title 1,Japan,2021,R,61 min,"March 01, 2009","Kids' TV, Children"
s2,TV Show,Title 2,Japan,1988,R,101 min,"September 21, 2020",Documentaries
s3,TV Show,Title 3,Japan,1982,TV-MA,90 min,"July 14, 2016",Action & Adventure
s4,Movie,Title 4,Japan,1968,nan,6 Seasons,"September 14, 2008","Kids' TV, Children"
s5,Movie,Title 5,United States,1984,PG-13,4 Seasons,"May 23, 2014","Dramas, International"
s6,TV Show,Title 6,Japan,1969,PG,3 Seasons,"September 14, 2016","Kids' TV, Children"
s7,Movie,Title 7,India,1975,TV-14,71 min,"September 21, 2009",Action & Adventure
s8,TV Show,Title 8,India,2015,PG-13,7 Seasons,"December 18, 2009",Documentaries
s9,TV Show,Title 9,,2007,PG,118 min,"October 29, 2013",Documentaries
s10,Movie,Title 10,United Kingdom,1995,PG,147 min,"October 02, 2020","Dramas, International"
s11,Movie,Title 11,,2021,R,94 min,"September 14, 2015","Kids' TV, Children"
s12,Movie,Title 12,,1984,PG-13,74 min,"March 05, 2017",Comedies
s13,Movie,Title 13,India,1982,TV-MA,2 Seasons,"October 27, 2014","Dramas, International"
s14,Movie,Title 14,South Korea,2009,R,156 min,"January 30, 2009",Comedies
s15,Movie,Title 15,us,1970,TV-MA,140 min,"October 04, 2012",Documentaries
s16,Movie,Title 16,India,2018,TV-MA,1 Seasons,"June 21, 2016",Comedies
s17,tv show,Title 17,India,1957,TV-14,2 Seasons,"December 18, 2020",Documentaries
s18,TV Show,Title 18,United States,1966,R,98 min,"December 16, 2011",Action & Adventure
s19,TV Show,Title 19,India,1994,TV-MA,128 min,"June 30, 2008",Documentaries
s20,tv show,Title 20,South Korea,2024,R,177 min,"May 28, 2011","Kids' TV, Children"
s21,Movie,Title 21,,2002,R,146 min,"October 30, 2022",Documentaries
s22,Movie,Title 22,South Korea,1955,PG,138 min,"December 17, 2018","Kids' TV, Children"
s23,TV Show,Title 23,Japan,2015,nan,3 Seasons,"May 25, 2014",Documentaries
s24,Movie,Title 24,Japan,1997,R,162 min,"August 24, 2014","Dramas, International"
s25,Movie,Title 25,South Korea,1981,TV-14,173 min,"December 01, 2013",Action & Adventure
s26,Movie,Title 26,,1973,PG,8 Seasons,"April 01, 2023","Dramas, International"
s27,Movie,Title 27,us,1969,nan,7 Seasons,"July 26, 2009","Dramas, International"
